Date,APG1L.VS,ARC1T.TL,AUG1L.VS,BLT1T.TL,CPA1T.TL,DGR1R.RG,EEG1T.TL,EGR1T.TL,GRG1L.VS,HAE1T.TL,HMX1R.RG,HPR1T.TL,IGN1L.VS,KNF1L.VS,LHV1T.TL,MRK1T.TL,NCN1T.TL,NTU1L.VS,PKG1T.TL,PTR1L.VS,PZV1L.VS,RSU1L.VS,SAB1L.VS,SFG1T.TL,TAL1T.TL,TEL1L.VS,TKM1T.TL,TSM1T.TL,TVE1T.TL,VLP1L.VS
2022-05-23,0.647103224582831,0.6720301166483102,-0.7094798412879258,-1.4653375416253522,0.8977193447342383,0.3140600521995126,0.5709795358097567,1.3336560967484052,-0.17197525567877173,1.8453002241033287,1.960094770615237,2.414126495023534,2.873507460590036,-1.217395811770586,1.3069805363332632,2.70018690266284,-0.1473406160779622,1.3402504051427764,0.10436002821173344,-0.5276327865332945,0.285178974500838,1.118414897264793,-0.4812668685908983,-0.25825270052379107,-0.5978369790812044,0.6881346435287342,2.3145136525509282,0.431782391654776,2.5824160822187445,1.4469189829363254
2022-05-24,0.660107296910448,0.6819311753357269,-0.7192858275971883,-1.4610179360904836,0.891998062756118,0.31826462563157526,0.5709795358097567,1.3260128057629483,-0.18392281752855164,1.8453002241033287,1.9572738969296473,2.4033350340342152,2.8680280948938073,-1.214023170684172,1.3029127703213834,2.6823973609350333,-0.15665378773720595,1.3350010541839938,0.09075438939652726,-0.5108255840295616,0.2738367091433839,1.118414897264793,-0.487760314334431,-0.2686640596293941,-0.605136296250607,0.6881346435287342,2.3184584271318425,0.4278787284344037,2.583855966758104,1.4469189829363254
2022-05-25,0.6575199757395465,0.6769929301000246,-0.7153928046217354,-1.4696759519183977,0.8796267831169565,0.30417987529494933,0.5538851187073245,1.3331483323730902,-0.17197525567877173,1.8405496636728618,1.9459101490553132,2.4051416744334024,2.864725853865576,-1.214023170684172,1.2947271937224634,2.6926015496519127,-0.1625189014485307,1.3310459095659477,0.0953102014787409,-0.5108255840295616,0.27763177633470854,1.0986122886681098,-0.5025267894248724,-0.23572230635945995,-0.6161860996873879,0.6881346435287342,2.3105532550743786,0.42526771670484753,2.5852937810105936,1.4492692140094081
2022-05-27,0.6652620040380635,0.6794651614237923,-0.7176448349320322,-1.4696759519183977,0.8985340467854596,0.31265456091528604,0.5596157879354227,1.3661184341755979,-0.18874211365496196,1.8405496636728618,1.960094770615237,2.3978952727983707,2.871319359006132,-1.231001491410891,1.3029127703213834,2.706464319011558,-0.16016875439149342,1.3297240020626526,0.0815800221509224,-0.5141645417766231,0.2738367091433839,1.0986122886681098,-0.4975804291711079,-0.21059755871880756,-0.6180397549606538,0.6881346435287342,2.308567206382994,0.42526771670484753,2.5852937810105936,1.4445632152622998
2022-05-30,0.6729444927051669,0.6966013767877797,-0.7178497888992029,-1.4784096495048484,0.9074517531881461,0.31265456091528604,0.5452270643046899,1.3734623523588003,-0.1911605354799636,1.8405496636728618,1.9487632153206988,2.399711845264121,2.873507460590036,-1.2275826268381604,1.3042705101133598,2.707715150980977,-0.15082287310072942,1.3297240020626526,0.04879011875636829,-0.5141645417766231,0.27002709353331955,1.0986122886681098,-0.4959369666421622,-0.19845094744646924,-0.6088059777807845,0.6881346435287342,2.320425041100351,0.42526771670484753,2.5852937810105936,1.4374626567553286
2022-05-31,0.6805684104249119,0.699025721075745,-0.7180548459890127,-1.4784096495048484,0.9074517531881461,0.31265456091528604,0.5247285627932413,1.4109869504499126,-0.19845094744646924,1.8405496636728618,1.960094770615237,2.3960753943907034,2.873507460590036,-1.2275826268381604,1.301553119689639,2.7014455423673533,-0.15082287310072942,1.339464750776968,0.014888598400041446,-0.5378543108509458,0.25851066201223855,1.0986122886681098,-0.4942962983637726,-0.19237190709706703,-0.6014800320605991,0.6856189213457606,2.3184584271318425,0.4160753086086538,2.593877521630097,1.4327007475904805
2022-06-01,0.6881346435287342,0.706263334533432,-0.7225759750451693,-1.4828052699031513,0.9066443833247319,0.31826462563157526,0.5306282791114146,1.4051161677704493,-0.2082549675951156,1.8421356674849032,1.9768549238454063,2.421256643038528,2.875690999898652,-1.2378743847762739,1.2947271937224634,2.706464319011558,-0.1473406160779622,1.3350010541839938,0.0,-0.5108255840295616,0.25851066201223855,1.0986122886681098,-0.5008752826836427,-0.16499260605266544,-0.6014800320605991,0.6856189213457606,2.3184584271318425,0.4187103223098387,2.5881632224087157,1.4562867240478574
2022-06-02,0.6780335572728562,0.6819311753357269,-0.7236063585495723,-1.5141277380483795,0.9001613654511708,0.31265456091528604,0.5394131000806442,1.3812818240886795,-0.21072102837221335,1.8421356674849032,1.9878743742824085,2.4015250373936077,2.8789571807374656,-1.2552661112618329,1.2933563602278406,2.70270259988915,-0.15082287310072942,1.3441694447662789,0.009950321410848074,-0.5141645417766231,0.25851066201223855,1.118414897264793,-0.5041811268363218,-0.1165338323291143,-0.5978369790812044,0.6856189213457606,2.312535461616493,0.4187103223098387,2.5867295309210436,1.4539530586143468
2022-06-03,0.6805684104249119,0.691735163376961,-0.7205183876475268,-1.53711723422062,0.9162907318741551,0.3140600521995126,0.5364933928227393,1.378766101905706,-0.22064668835786408,1.8245492612873577,1.9878743742824085,2.4033350340342152,2.8691263508934877,-1.2378743847762739,1.2974631708642823,2.70270259988915,-0.15548489559870915,1.3350010541839938,0.014888598400041446,-0.5141645417766231,0.25851066201223855,1.118414897264793,-0.5041811268363218,-0.08446912445680546,-0.5851900724420155,0.6856189213457606,2.3164880320212964,0.41343325442007267,2.5852937810105936,1.4562867240478574
2022-06-06,0.6678293970288427,0.691735163376961,-0.7236063585495723,-1.5050778842223669,0.9017860402526693,0.31826462563157526,0.5364933928227393,1.3711807378328014,-0.22314353641304868,1.8099267950352884,1.9906103514242277,2.399711845264121,2.875690999898652,-1.2552661112618329,1.291983710468477,2.6823904464939363,-0.17078832720235604,1.3350010541839938,0.0,-0.5108255840295616,0.25851066201223855,1.118414897264793,-0.5091603261985859,-0.06720874714351872,-0.5996567923077035,0.6805684104249119,2.3263015972596195,0.4027949139763578,2.5881632224087157,1.4586150670564606
